text,label
mình đi làm chỉ nhận giờ hành chính,chitchat
giao buổi tối được không,chitchat
hủy giao hàng giúp mình,chitchat
chưa nhận được hàng,chitchat
bị boom hàng thì sao,chitchat
số tài khoản shop là gì,chitchat
chuyển khoản trước hay sao,chitchat
có cần cọc không,chitchat
chuyển khoản rồi shop nhận được chưa,chitchat
báo nhận tiền giúp mình,chitchat
mình ck rồi nha check giúp,chitchat
ck xong báo ai,chitchat
có quẹt thẻ không,chitchat
có trả góp không shop,chitchat
chấp nhận thẻ tín dụng không,chitchat
vnpay được không,chitchat
quét mã qr được không,chitchat
mã giảm giá áp dụng sao,chitchat
mua nhiều có freeship không,chitchat
mua 2 cái có giảm giá không,chitchat
lấy sỉ giá thế nào,chitchat
cho xin bảng giá sỉ,chitchat
mình muốn làm cộng tác viên,chitchat
shop có tuyển ctv không,chitchat
lấy sỉ bao nhiêu cái thì được,chitchat
hàng giống hình 100% không,chitchat
cho xin ảnh thật shop tự chụp đi,chitchat
có clip quay thật không,chitchat
hàng có tem mác đầy đủ không,chitchat
chất liệu vải gì vậy,chitchat
da thật hay giả da,chitchat
da pu hay da bò,chitchat
đế cao su hay nhựa,chitchat
đi mưa được không,chitchat
có bị bong keo không,chitchat
có bị xù lông không,chitchat
vải có nhăn không,chitchat
hàng qcvk hay hàng xưởng,chitchat
hàng auth hay rep 11,chitchat
chính hãng không shop,chitchat
phát hiện fake đền bao nhiêu,chitchat
có hộp đầy đủ không,chitchat
có túi vải bọc không,chitchat
gói quà giúp mình được không,chitchat
mình mua tặng sinh nhật,chitchat
che tên sản phẩm được không,chitchat
mua nhầm size có đổi được không,chitchat
mang không vừa đổi size nha,chitchat
màu ở ngoài tối hơn trong ảnh,chitchat
nhận hàng bị lỗi chỉ,chitchat
hàng bị xước một tí,chitchat
hộp bị móp rồi shop ơi,chitchat
đóng gói cẩn thận nha,chitchat
sao khóa kéo bị kẹt,chitchat
dây đeo túi bị ngắn,chitchat
được trả hàng hoàn tiền không,chitchat
phí đổi size ai chịu,chitchat
shop tự cho shiper tới lấy hàng đổi à,chitchat
mình gửi bưu điện đổi hàng nha,chitchat
bảo hành keo đế bao lâu,chitchat
có bảo hành khóa kéo không,chitchat
có hỗ trợ sửa chữa không,chitchat
mình lỡ làm đứt dây có mua lại được dây không,chitchat
chào buổi sáng,chitchat
chào buổi tối,chitchat
tư vấn cho mình với,chitchat
tư vấn giúp mình size,chitchat
shop rep chậm quá,chitchat
sao nhắn mãi không thấy trả lời,chitchat
có ai trực page không,chitchat
nhân viên đâu rồi,chitchat
shop chảnh quá vậy,chitchat
giục rep cái coi,chitchat
xem tin nhắn đi shop,chitchat
bỏ qua tin nhắn à,chitchat
xin lỗi mình nhắn nhầm,chitchat
để mình suy nghĩ thêm,chitchat
có gì mình báo lại sau,chitchat
hỏi giá tham khảo thôi,chitchat
mình đang xem đã,chitchat
chưa có tiền mua,chitchat
chờ nhận lương rồi mua,chitchat
cuối tháng mình lấy,chitchat
để dành cho mình qua tuần lấy nha,chitchat
giữ hàng cho mình nha,chitchat
alo có phải người thật không,chitchat
shop đang dùng trả lời tự động à,chitchat
bot ơi,chitchat
chat với người đi,chitchat
cho gặp nhân viên tư vấn đi,chitchat
mình cần người thật hỗ trợ,chitchat
tắt bot đi shop ơi,chitchat
máy trả lời chán quá,chitchat
bot không hiểu ý mình,chitchat
zalo shop là gì,chitchat
có link shopee không,chitchat
có bán trên tiktok không,chitchat
có link lazada không,chitchat
có gian hàng trên mall không,chitchat
đánh giá 5 sao có được tặng quà không,chitchat
tặng kèm vớ không,chitchat
có tặng kèm hộp vệ sinh giày không,chitchat
shop có sdt khác không,chitchat
địa chỉ shop tìm trên google map được không,chitchat
chủ nhật có mở cửa không,chitchat
lễ tết shop có làm việc không,chitchat
shop nghỉ tết tới mùng mấy,chitchat
chi nhánh quận 1 còn không,chitchat
cửa hàng ngoài hà nội còn chi nhánh nào,chitchat
vừa nhắn tin trên facebook qua,chitchat
mình mới gọi hotline nè,chitchat
thái độ phục vụ chán quá,chitchat
shop lừa đảo à,chitchat
làm ăn kỳ cục vậy,chitchat
sao số đt gọi không nghe,chitchat
hàng quá đẹp luôn,chitchat
shop tư vấn nhiệt tình ghê,chitchat
chủ shop dễ thương,chitchat
sẽ ủng hộ shop dài dài,chitchat
mới nhận hàng xong ưng lắm,chitchat
đóng gói quá sơ sài,chitchat
hộp rách bươm,chitchat
chất lượng tệ,chitchat
không giống mô tả,chitchat
hơi thất vọng,chitchat
"tạm được, tiền nào của nấy",chitchat
giá hơi chát,chitchat
chờ mòn mỏi mới nhận được,chitchat
shop êi,chitchat
shoppp,chitchat
có ai tư vấn k,chitchat
rep rep,chitchat
ad ơi,chitchat
admin có đó k,chitchat
alo alo,chitchat
hi shop,chitchat
xin chào,chitchat
cho e hỏi cái,chitchat
e hỏi tí,chitchat
chị ơi,chitchat
anh ơi,chitchat
chị tư vấn e với,chitchat
bạn gì ơi,chitchat
k ai rep à,chitchat
shop đông khách quá hả,chitchat
inbox m nha,chitchat
check ib m,chitchat
xem tn m nha shop,chitchat
mình inbox r đó,chitchat
c check ib giúp e,chitchat
thanks c,chitchat
dạ c,chitchat
vâng ạ,chitchat
ok c,chitchat
oki shop,chitchat
dạ vâng,chitchat
tuyệt vời,chitchat
đỉnh quá shop,chitchat
xịn xò,chitchat
cho shop 5 sao,chitchat
giá sỉ sao ạ,chitchat
ib giá sỉ,chitchat
có bán buôn ko,chitchat
mua số lượng lớn,chitchat
m muốn mở đại lý,chitchat
mua sll,chitchat
shop đổ sỉ ko,chitchat
có xưởng ko,chitchat
bên m là xưởng hay qua trung gian,chitchat
hàng oder hay có sẵn,chitchat
order bao lâu về,chitchat
hàng này có sẵn ko,chitchat
cần đợi order k,chitchat
oder thì mấy ngày,chitchat
hết hàng r à,chitchat
bao h restock,chitchat
khi nào có hàng lại,chitchat
chừng nào về hàng,chitchat
hàng về nhớ báo m,chitchat
cho m đặt gạch trước 1 cái,chitchat
preorder được không,chitchat
cọc bao nhiêu,chitchat
giá sao vậy ad,chitchat
cho e xin giá,chitchat
xin giá,chitchat
giá bn,chitchat
nhieu tien vay shop,chitchat
có bớt ko,chitchat
fix nhẹ ko shop,chitchat
mua nhiều có fix ko,chitchat
xin link shoppe,chitchat
cho link fb,chitchat
ig shop là gì,chitchat
có tóp tóp k,chitchat
shop trên tiktok tên j,chitchat
có livetreame ko,chitchat
khi nào live vậy,chitchat
shop có live ko,chitchat
trên live rẻ hơn à,chitchat
săn sale ko kịp,chitchat
hết sale r hả,chitchat
còn áp mã đc ko,chitchat
mã giảm giá ở đâu,chitchat
có voucher ko,chitchat
cho xin mã fs,chitchat
