text,label
m mua 1 cái đen 1 cái trắng,shopping
đổi 1 cái màu xanh nha,shopping
đừng lấy hàng lỗi nha shop,shopping
kiểm tra kỹ trước khi giao nha,shopping
đóng gói đẹp xíu để đi tặng,shopping
cho xin sđt shiper,shopping
đang cần gấp giục ship giùm,shopping
địa chỉ kho ở đâu m qua lấy,shopping
đến trực tiếp mua đc k,shopping
mở cửa tới mấy h m ghé,shopping
thử trực tiếp đc ko,shopping
qua shop quẹt thẻ đc k,shopping
có thanh toán quét mã k,shopping
mua trực tiếp có rẻ hơn k,shopping
chất vải gì v,shopping
vải oxford à,shopping
da tổng hợp hay da thật,shopping
có sợ bị mốc k,shopping
bảo quản giày ntn,shopping
giặt máy đc k,shopping
có bị phai màu ko,shopping
có bị lem màu ko,shopping
hàng này giặt tay hay giặt máy,shopping
ủi đc ko,shopping
bị nhăn làm sao,shopping
vệ sinh túi bằng gì,shopping
có bán chai xịt tẩy ko,shopping
tặng kèm xi đánh giày ko,shopping
mình cần tư vấn,shopping
giúp mình với,shopping
bạn ơi tư vấn mình đôi giày,shopping
mình muốn mua hàng,shopping
mua cái này nha,shopping
túi phong cách Hàn Quốc shop có không,shopping
giày kiểu Hàn giá rẻ mà đẹp,shopping
balo vintage Hàn Quốc còn hàng không,shopping
phụ kiện aesthetic giá sinh viên,shopping
túi tote phong cách ulzzang,shopping
giày thể thao phong cách đường phố,shopping
túi đeo chéo streetwear nam,shopping
balo phong cách Nhật Bản,shopping
dép sandal kiểu Hàn mùa hè,shopping
túi bucket bag phong cách thời trang,shopping
giày platform vintage còn size 37 không,shopping
có túi mini bag không shop,shopping
túi đan lát phong cách boho,shopping
giày chunky sole còn không,shopping
phụ kiện y2k shop có bán không,shopping
túi canvas phong cách học sinh Hàn,shopping
có dép bitis hunter không,shopping
giày thể thao local brand nào đẹp,shopping
túi crossbody mini giá bao nhiêu,shopping
có bán phụ kiện đồng bộ không shop,shopping
